type,bbox,interactivity,content,ID
text,"[0.00989583320915699, 0.0416666679084301, 0.04531250149011612, 0.07222222536802292]",False,Settings,0
text,"[0.3369791805744171, 0.037962961941957474, 0.39531248807907104, 0.07037036865949631]",False,Search ettings,1
text,"[0.03333333507180214, 0.0972222238779068, 0.06354166567325592, 0.11759259551763535]",False,Network,2
text,"[0.32083332538604736, 0.10833333432674408, 0.359375, 0.12870369851589203]",False,Bluetooth,3
text,"[0.3499999940395355, 0.1509259194135666, 0.3843750059604645, 0.17685185372829437]",False,Bluetooth,4
text,"[0.3499999940395355, 0.17129629850387573, 0.3645833432674408, 0.192592591047287]",False,On,5
text,"[0.32083332538604736, 0.22962963581085205, 0.3864583373069763, 0.25]",False,Connected devices,6
text,"[0.3307291567325592, 0.27129629254341125, 0.3786458373069763, 0.3018518388271332]",False,Android phone,7
text,"[0.3322916626930237, 0.29629629850387573, 0.49687498807907104, 0.31388887763023376]",False,Connect your Chromebook with your phone. Learn more,8
text,"[0.31979167461395264, 0.3481481373310089, 0.3479166626930237, 0.38148146867752075]",False,People,9
text,"[0.36145833134651184, 0.39907407760620117, 0.40312498807907104, 0.4194444417953491]",False,Nasim Obeid,10
text,"[0.3604166805744171, 0.4157407283782959, 0.44479167461395264, 0.4407407343387604]",False, nassimobeid6@gmail.com,11
text,"[0.3604166805744171, 0.4592592716217041, 0.3812499940395355, 0.47962963581085205]",False,Sync,12
text,"[0.359375, 0.47592592239379883, 0.4489583373069763, 0.5]",False,Update Chrome to start sync,13
text,"[0.3296875059604645, 0.6212962865829468, 0.3973958194255829, 0.6509259343147278]",False,Manage other people,14
text,"[0.31979167461395264, 0.6842592358589172, 0.35208332538604736, 0.7092592716217041]",False,Autofill,15
text,"[0.34947916865348816, 0.7277777791023254, 0.39010417461395264, 0.7583333253860474]",False,Passwords,16
text,"[0.35104167461395264, 0.7777777910232544, 0.4104166626930237, 0.7981481552124023]",False, Payment methods,17
text,"[0.35104167461395264, 0.8212962746620178, 0.4177083373069763, 0.8416666388511658]",False,Addresses and more,18
text,"[0.32083332538604736, 0.8805555701255798, 0.36666667461395264, 0.9064815044403076]",False,Ap pear ance,19
text,"[0.0010416667209938169, 0.9305555820465088, 0.0833333358168602, 0.9481481313705444]",False,chrome://settings/bluetooth,20
text,"[0.33020833134651184, 0.925000011920929, 0.36666667461395264, 0.949999988079071]",False,Wallpaper,21
text,"[0.9409710168838501, 0.9532562494277954, 0.9961517453193665, 0.9928545951843262]",True,0 8:18,22
text,"[0.005673909094184637, 0.34622251987457275, 0.13028815388679504, 0.3842536211013794]",True,Search and Assistant,23
text,"[0.005750501062721014, 0.3095792233943939, 0.1307736188173294, 0.34755513072013855]",True,Device,24
text,"[0.0, 0.5169188380241394, 0.13081209361553192, 0.55516517162323]",True,About Chrome OS,25
text,"[3.0040740966796875e-05, 0.4777090549468994, 0.13000960648059845, 0.5186405777931213]",True,Extensions,26
text,"[0.0012711286544799805, 0.4240598976612091, 0.13070055842399597, 0.4694538414478302]",True,Advanced,27
text,"[0.004539406392723322, 0.3834741711616516, 0.1308397501707077, 0.4233614206314087]",True,On startup,28
text,"[0.0058897375129163265, 0.2724502682685852, 0.13380087912082672, 0.3102823793888092]",True,Appearance,29
text,"[0.006353044416755438, 0.23527877032756805, 0.13075986504554749, 0.27258408069610596]",True,Autofill,30
text,"[0.006881630513817072, 0.1990041881799698, 0.13212387263774872, 0.2356436401605606]",True,:,31
